employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_criminal_record,employee_origin_country,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,hostility_country_level,num_entries,num_unique_campus,entry_during_weekend,is_malicious
7,2,29,19,0,3,0,12,19,0,0,0,0,0,0,0,0
0,2,41,11,0,3,0,12,0,0,24,0,0,1,1,0,0
9,2,43,11,0,2,0,19,1,0,42,0,0,1,1,0,0
7,1,47,7,0,2,0,4,58,0,0,0,0,1,1,0,0
0,0,22,23,0,3,0,30,11,0,0,0,0,1,1,0,0
9,2,41,8,1,3,1,12,0,0,0,0,0,0,0,0,0
5,0,40,12,1,3,0,12,23,0,0,0,0,0,0,0,0
7,0,29,11,0,1,0,12,0,0,9,0,0,0,0,0,0
9,1,23,8,0,3,0,5,0,0,0,0,0,0,0,0,0
4,2,13,2,0,2,0,4,0,0,47,0,0,0,0,0,0
7,2,41,11,0,1,0,4,30,0,0,0,0,0,0,0,0
8,0,37,25,0,2,0,12,8,0,0,0,0,0,0,0,0
7,0,35,18,0,2,0,22,6,0,0,0,0,2,1,0,0
3,1,41,9,0,1,0,12,0,0,0,0,0,1,1,1,0
4,0,26,25,0,1,0,23,0,0,45,0,0,2,1,0,0
9,2,27,25,0,2,0,12,0,0,0,0,0,0,0,0,0
7,1,29,7,0,1,0,12,10,0,0,0,0,0,0,0,0
0,2,15,11,0,3,0,12,8,0,0,0,0,0,0,0,0
6,0,6,21,0,1,0,30,23,0,0,0,0,1,1,0,0
0,0,15,7,0,3,0,1,0,0,0,0,0,1,1,1,0
4,2,13,10,0,2,0,12,18,0,0,0,0,1,1,0,0
3,0,17,14,0,1,0,29,45,0,5,0,0,1,1,0,0
3,0,39,9,0,1,0,3,0,0,9,0,0,1,1,0,0
0,2,15,23,0,2,0,7,1,0,29,0,0,1,1,0,0
9,2,41,1,1,3,0,12,7,0,0,0,0,2,1,0,0
4,0,26,18,0,1,0,8,0,0,45,0,0,1,1,0,0
9,2,27,19,0,3,0,29,4,0,0,0,0,0,0,0,0
8,0,37,26,1,2,0,12,3,0,0,0,0,0,0,0,0
7,1,32,13,0,2,0,12,23,0,0,0,0,0,0,0,0
6,2,31,15,0,2,1,21,8,0,0,0,0,1,1,0,0
9,1,16,11,0,2,0,12,0,0,7,0,0,0,0,0,0
0,1,15,10,0,2,0,22,2,0,0,0,0,1,1,1,0
6,2,0,14,0,1,0,29,63,0,0,0,0,1,1,0,0
9,1,16,9,1,2,0,7,5,0,0,0,0,1,1,0,0
8,1,38,12,1,1,0,12,6,0,0,0,0,2,1,0,0
9,2,27,26,0,3,0,29,0,0,37,0,0,0,0,0,0
0,0,15,2,0,2,0,21,8,0,0,0,0,0,0,0,0
4,2,3,21,0,1,0,12,2,0,0,0,0,0,0,0,0
1,1,10,9,0,3,0,12,1,0,16,0,0,0,0,0,0
9,2,27,2,0,2,0,21,0,0,26,0,0,1,1,0,0
6,2,31,21,0,2,0,22,3,0,0,0,0,1,1,0,0
3,1,41,3,0,1,0,23,11,0,6,0,0,0,0,0,0
2,0,41,7,0,2,0,12,37,0,0,0,0,1,1,0,0
7,0,41,2,0,1,0,12,14,0,7,0,0,1,1,0,0
7,2,30,3,0,1,0,12,14,0,0,0,0,0,0,0,0
8,2,36,8,0,1,1,30,38,0,0,0,0,1,1,0,0
9,1,23,18,0,3,1,12,0,0,0,0,0,2,1,0,0
8,2,36,6,0,1,0,28,30,0,0,0,0,1,1,0,0
0,2,34,20,0,2,0,5,0,0,5,0,0,2,1,0,0
6,0,41,11,0,1,0,19,0,0,0,0,0,1,1,0,0
4,0,13,0,0,2,0,7,27,0,44,0,0,1,1,0,0
8,0,41,2,1,2,0,22,18,0,0,0,0,0,0,0,0
7,2,41,2,1,1,0,28,14,0,10,0,0,1,1,0,0
7,0,29,11,1,2,0,12,8,0,9,0,0,0,0,0,0
8,0,41,3,0,2,0,12,403,0,0,0,0,0,0,0,0
3,0,17,16,0,1,0,12,13,0,0,0,0,1,1,0,0
8,2,38,19,0,1,0,7,8,0,0,0,0,1,1,0,0
3,1,46,9,0,2,0,12,0,0,16,0,0,0,0,0,0
7,0,35,18,0,2,0,22,0,0,7,0,0,0,0,0,0
0,0,43,10,0,3,0,12,0,0,8,0,0,0,0,0,0
0,0,15,24,0,2,0,22,15,3,0,0,0,1,1,0,0
8,2,36,5,0,1,0,6,5,0,0,0,0,0,0,0,0
4,2,3,7,0,1,0,9,0,0,0,0,0,1,1,0,0
9,0,41,10,0,2,0,12,3,0,45,0,0,1,1,0,0
4,1,44,2,1,2,0,16,1,0,0,0,0,2,1,0,0
9,1,27,14,0,3,0,12,0,0,0,0,0,1,1,0,1
9,1,16,1,0,3,0,12,3,1,0,0,0,1,1,0,0
4,0,3,16,0,1,0,23,17,0,0,0,0,1,1,0,0
7,1,35,13,0,1,0,12,0,0,12,1,0,0,0,0,0
6,2,31,6,1,1,0,4,18,3,9,0,0,0,0,0,0
4,1,41,7,0,3,0,0,0,0,46,0,0,1,1,0,0
7,1,47,18,0,1,0,12,22,0,0,0,0,1,1,0,0
6,0,4,25,0,1,0,5,0,0,0,0,0,2,1,1,0
6,2,0,6,0,1,0,26,61,0,0,0,0,2,1,0,0
7,1,32,16,1,2,0,5,9,0,0,0,0,1,1,0,0
9,1,23,30,0,3,0,12,4,0,0,0,0,1,1,0,0
2,0,19,13,0,1,0,22,0,0,8,0,0,0,0,0,0
8,0,38,20,0,3,0,30,18,0,0,0,0,1,1,0,0
0,0,43,15,0,3,0,12,2,0,0,0,0,0,0,0,0
6,2,6,5,0,1,0,12,11,2,0,0,0,0,0,0,0
4,1,26,10,0,2,0,1,1,0,0,0,0,2,1,0,0
2,1,5,13,0,1,0,12,47,0,0,0,0,1,1,0,0
4,2,26,3,0,1,0,13,35,0,0,0,0,1,1,0,0
6,0,6,11,0,1,0,12,55,21,0,0,0,0,0,0,0
8,2,36,8,0,1,0,30,37,0,0,0,0,0,0,0,0
9,1,16,6,0,2,0,12,0,0,0,0,0,0,0,0,0
9,2,16,3,0,3,0,22,0,0,5,0,0,0,0,0,0
7,2,47,8,0,1,0,30,7,0,5,0,0,1,1,0,0
7,0,32,13,1,1,0,1,24,0,0,0,0,1,1,0,0
7,0,30,16,0,1,0,23,15,0,0,0,0,1,1,0,0
0,1,43,5,0,2,0,16,0,0,0,0,0,0,0,0,0
6,1,41,8,0,2,0,0,34,0,0,0,0,0,0,0,0
6,0,31,14,0,1,0,29,1,0,5,0,0,1,1,0,0
7,0,47,5,0,2,0,22,29,0,0,0,0,1,1,0,0
4,0,41,7,0,1,0,12,4,1,25,0,0,2,1,0,0
7,0,30,4,0,1,0,30,2,0,0,0,0,0,0,0,0
0,2,34,12,0,2,0,12,11,0,0,0,0,2,1,0,0
2,0,5,14,0,2,0,12,3,0,0,0,0,1,1,0,0
6,0,6,20,0,1,0,21,7,1,0,0,0,1,1,0,0
9,2,16,22,0,2,0,6,7,0,0,0,0,0,0,0,0
2,0,19,15,0,2,1,7,0,0,0,0,0,1,1,0,0
4,0,24,27,0,1,0,12,5,0,0,0,0,0,0,0,0
9,0,41,12,0,2,0,22,0,0,2,0,0,1,1,0,0
8,0,36,5,0,2,0,12,9,0,0,0,0,1,1,0,0
9,0,41,6,0,2,0,5,3,0,0,0,0,2,1,0,0
6,0,6,18,0,1,0,12,55,0,0,0,0,0,0,0,0
4,0,13,16,1,3,0,23,0,0,0,0,0,0,0,0,0
9,1,23,21,0,2,1,22,0,0,7,0,0,1,1,0,0
6,2,31,21,0,3,0,30,1,0,25,0,0,1,1,0,0
9,1,23,28,0,2,0,22,12,0,0,0,0,0,0,0,0
9,2,16,26,0,2,0,8,11,2,0,0,0,0,0,0,0
9,2,41,2,0,2,0,12,0,0,0,0,0,1,1,1,0
0,2,43,18,1,2,0,22,0,0,32,0,0,1,1,0,0
7,2,32,16,0,1,0,12,8,0,0,0,0,1,1,0,0
9,0,27,26,0,3,0,3,0,0,90,0,0,2,1,0,1
2,1,19,9,0,2,0,12,25,0,0,0,0,1,1,0,0
7,0,47,17,0,1,0,22,39,0,0,0,0,1,1,0,0
8,0,38,17,1,1,0,7,18,0,0,0,0,2,1,0,0
5,0,40,7,0,3,0,22,20,0,0,0,0,1,1,0,0
0,2,15,21,0,2,0,29,0,0,49,1,0,2,1,0,1
0,2,45,15,1,2,0,7,0,0,0,0,0,0,0,0,0
4,1,18,26,0,2,0,9,3,0,0,0,0,0,0,0,0
6,0,0,11,0,2,0,30,22,0,0,0,0,0,0,0,0
8,0,41,16,1,1,0,12,44,0,0,0,0,1,1,0,0
8,1,38,14,1,1,0,12,29,0,0,0,0,1,1,0,0
9,2,2,0,0,2,1,22,0,0,45,0,0,0,0,0,0
4,0,13,4,0,1,0,22,0,0,118,0,0,1,3,0,1
7,1,35,6,0,1,0,29,2,0,0,0,0,0,0,0,0
6,0,4,1,0,2,0,30,54,0,0,0,0,1,1,0,0
4,0,41,15,0,3,0,12,0,0,7,0,0,1,1,0,0
0,0,34,8,0,2,0,12,0,0,36,0,0,0,0,0,0
0,2,41,7,0,2,0,30,2,0,0,0,0,0,0,0,0
6,1,0,21,0,1,0,9,27,0,0,0,0,2,1,0,0
7,1,30,18,1,1,0,21,0,0,0,0,0,2,2,0,0
0,1,34,21,0,2,0,12,13,0,0,0,0,1,1,0,0
9,1,27,16,0,2,0,4,9,4,0,0,0,1,1,1,1
0,2,41,9,0,2,0,30,14,0,0,0,0,1,1,0,0
7,2,32,12,0,1,0,12,3,0,0,0,0,1,1,0,0
7,1,30,1,0,1,0,12,0,0,0,0,0,1,1,0,0
0,0,15,11,0,3,0,22,0,0,0,0,0,1,1,0,0
0,0,41,9,0,2,0,12,9,0,0,0,0,0,0,0,0
8,1,38,7,1,1,0,12,6,0,0,0,0,0,0,0,0
9,0,16,24,0,3,0,12,11,1,0,0,0,1,1,0,0
2,2,20,2,0,2,0,12,1,0,0,0,0,0,0,0,0
9,0,27,6,0,2,0,12,0,0,7,0,0,1,1,0,0
5,0,14,20,0,3,0,5,125,0,0,0,0,0,0,0,1
7,2,30,8,0,2,0,30,0,0,8,0,0,0,0,0,0
4,2,13,12,0,2,0,5,0,0,53,0,0,1,1,0,0
0,0,34,8,0,2,0,4,0,0,0,0,0,0,0,0,0
8,2,38,8,0,1,0,21,1,0,0,0,0,1,1,0,0
6,0,4,21,0,2,0,12,34,0,0,0,0,0,0,0,0
6,2,31,15,0,2,1,21,3,0,0,0,0,0,0,0,0
0,1,22,22,0,3,0,4,3,0,0,0,0,1,1,0,0
9,0,43,25,0,2,0,30,18,2,0,0,0,0,0,0,0
8,0,38,17,1,1,0,7,7,0,2,0,0,1,1,0,0
9,1,43,5,0,3,0,12,5,0,0,0,0,1,1,0,0
7,0,30,7,1,2,0,3,60,0,0,0,0,1,1,0,0
9,1,43,16,0,3,0,27,12,0,35,0,0,1,1,0,0
7,1,32,14,1,1,0,9,0,0,0,0,0,2,1,0,0
0,0,43,8,0,2,0,0,1,0,0,0,0,0,0,0,0
7,1,29,13,1,1,0,12,29,0,0,0,0,0,0,0,0
0,0,15,20,0,2,0,12,0,0,40,0,0,0,0,0,0
8,0,38,7,0,1,0,12,18,0,0,0,0,0,0,0,0
0,0,34,22,0,2,0,12,0,0,33,0,0,2,1,0,0
0,1,45,26,0,2,0,12,0,0,25,0,0,0,0,0,0
2,0,5,14,0,2,0,12,86,0,0,0,0,2,1,0,0
9,0,43,7,0,2,0,12,0,0,0,0,0,1,1,1,0
8,2,41,16,0,2,0,22,10,0,0,0,0,0,0,0,0
8,0,37,24,0,3,0,12,15,0,0,0,0,2,1,0,0
4,0,41,1,0,1,0,22,1,0,51,0,0,0,0,0,0
6,1,0,7,1,1,0,16,0,0,14,0,0,0,0,0,0
9,1,27,17,1,2,0,12,0,0,38,0,0,1,1,0,0
9,0,16,13,0,2,0,2,0,0,35,0,0,0,0,0,0
8,2,36,18,0,1,0,12,36,0,0,0,0,0,0,0,0
6,0,41,9,0,1,1,12,27,9,0,0,0,1,1,0,0
6,1,0,10,0,1,0,9,4,1,0,0,0,1,1,1,0
9,0,41,13,0,3,0,16,0,0,0,0,0,0,0,0,0
0,0,15,2,0,2,0,21,0,0,31,0,0,0,0,0,0
10,2,9,24,1,3,0,23,0,0,1,0,0,2,1,1,0
9,1,23,20,0,2,0,12,13,3,0,0,0,0,0,0,0
10,0,12,19,0,2,0,27,0,0,7,0,0,1,1,1,0
2,2,1,11,0,3,0,19,20,0,0,0,0,1,1,0,0
7,0,30,3,0,2,0,4,42,0,0,0,0,2,1,0,0
4,0,18,6,1,1,0,12,9,2,0,0,0,1,1,0,0
7,1,41,1,0,2,0,23,57,0,0,0,0,0,0,0,0
7,1,29,14,0,1,0,30,49,0,0,0,0,1,1,0,0
2,2,5,20,0,2,0,22,6,0,0,0,0,0,0,0,0
0,1,15,3,0,2,0,12,12,1,0,0,0,0,0,0,0
9,0,16,13,0,2,0,2,2,0,0,0,0,1,1,0,0
9,2,16,22,0,2,0,6,0,0,0,0,0,0,0,0,0
6,1,41,16,0,2,0,5,42,3,0,0,0,1,1,0,0
7,0,29,14,0,1,0,16,18,0,0,0,0,0,0,0,0
7,1,29,13,1,1,0,12,20,0,0,0,0,1,1,0,0
9,0,41,16,0,3,0,5,0,0,0,0,0,1,1,0,0
8,0,41,10,0,1,0,22,1,0,0,0,0,2,1,0,0
4,1,26,9,0,1,0,29,6,0,0,0,0,1,1,0,0
9,2,43,6,1,3,0,12,0,0,3,0,0,1,1,0,0
0,2,43,13,0,3,0,12,0,0,28,0,0,1,1,1,0
2,2,41,3,0,2,0,4,0,0,0,0,0,2,1,0,1
7,2,41,2,1,1,0,28,15,0,0,0,0,1,1,0,0
7,2,47,7,0,1,0,12,29,0,0,0,0,1,1,0,0
4,1,44,0,0,2,0,22,0,0,0,0,0,0,0,0,0
7,2,35,5,0,2,0,25,5,0,0,0,0,1,1,0,0
0,2,45,9,1,3,0,12,9,0,47,0,0,2,1,0,0
9,1,43,13,0,2,0,12,0,0,0,0,0,2,1,0,0
7,0,41,8,1,2,0,22,3,0,0,0,0,0,0,0,0
9,0,43,2,0,2,0,12,15,0,0,0,0,1,1,0,0
4,2,26,25,0,2,1,12,9,0,0,0,0,1,1,0,0
9,2,16,6,0,2,0,9,0,0,39,0,0,0,0,0,0
7,2,32,16,0,1,0,12,36,4,0,0,0,1,1,0,0
9,1,27,5,0,3,0,6,0,0,39,0,0,1,1,0,0
8,2,37,0,0,1,0,12,20,0,0,0,0,0,0,0,0
7,1,41,6,1,1,0,12,5,0,2,0,0,1,1,0,0
6,1,41,8,1,1,1,0,2,0,0,0,0,0,0,0,0
6,0,41,5,0,2,0,5,2,0,18,0,0,0,0,0,0
7,2,32,8,0,2,0,12,5,1,0,0,0,0,0,0,0
9,2,23,31,0,3,0,12,0,0,35,0,0,0,0,0,0
0,1,34,13,0,3,0,12,7,0,0,0,0,1,1,0,0
9,0,41,4,0,3,0,22,0,0,0,0,0,2,1,0,0
8,2,36,7,0,1,0,12,22,0,0,0,0,2,1,0,0
6,1,0,17,0,2,0,7,116,0,20,0,0,1,1,0,0
9,1,41,1,1,3,0,12,10,2,0,0,0,0,0,0,0
4,0,3,16,0,1,0,23,10,0,0,0,0,0,0,0,0
9,0,23,14,0,2,0,6,16,0,0,0,0,1,1,0,0
6,1,41,9,1,1,0,12,5,1,0,0,0,1,1,0,0
3,0,21,18,0,2,0,12,8,0,0,0,0,2,1,1,0
7,0,30,3,0,2,0,4,21,0,0,0,0,1,1,0,0
9,0,27,6,0,2,0,12,0,0,27,0,0,1,1,0,0
9,2,23,11,0,3,0,12,21,0,40,0,0,1,1,0,0
7,2,41,10,0,2,0,29,47,0,0,0,0,2,1,0,0
7,0,32,8,0,3,0,12,22,0,0,0,0,2,1,0,0
7,1,47,12,1,1,0,5,46,0,0,0,0,1,1,0,0
4,0,41,4,1,2,0,22,0,0,4,0,0,1,1,0,0
6,2,0,11,0,1,0,5,75,0,0,0,0,0,0,0,1
7,2,29,19,0,3,0,12,4,0,0,0,0,1,1,0,0
9,0,23,8,0,2,0,30,0,0,0,0,0,0,0,0,0
8,0,37,12,1,2,0,12,50,0,0,0,0,1,1,0,0
10,2,42,24,0,3,0,12,0,0,9,0,0,2,1,0,0
8,1,38,16,0,1,0,29,0,0,0,0,0,0,0,0,0
2,1,20,23,0,2,0,12,5,0,0,0,0,0,0,0,0
7,0,35,24,0,1,0,12,24,0,0,0,0,2,1,0,0
7,0,32,17,0,1,0,12,26,0,0,0,0,0,0,0,0
9,2,27,5,0,2,0,20,16,5,0,0,0,1,1,0,0
3,2,17,19,0,3,0,12,5,0,0,0,0,0,0,0,0
8,0,36,5,0,2,0,12,26,0,0,0,0,1,1,0,0
0,1,34,6,0,3,0,29,3,0,0,0,0,0,0,0,0
2,0,1,6,0,1,0,5,18,0,2,0,0,2,1,0,0
9,1,16,13,0,2,0,12,5,0,0,0,0,1,1,0,0
9,2,41,1,0,2,0,12,0,0,41,0,0,2,1,0,0
7,0,47,21,0,1,0,8,13,0,0,0,0,1,1,1,0
4,1,18,7,0,1,0,27,28,0,0,0,0,2,1,0,0
3,0,21,10,1,1,0,28,8,0,0,0,0,0,0,0,0
9,2,43,17,0,2,0,5,3,0,0,0,0,0,0,0,0
6,0,41,8,0,1,0,12,0,0,20,0,0,0,0,0,0
7,0,30,13,0,1,1,28,0,0,0,0,0,1,1,0,0
0,1,15,8,0,3,0,2,0,0,42,0,0,0,0,0,0
8,1,38,7,0,2,0,12,23,0,0,0,0,0,0,0,0
9,0,43,19,1,2,0,28,0,0,45,0,0,0,0,0,0
5,0,14,16,0,3,1,12,5,0,0,0,0,0,0,0,0
0,1,43,26,0,3,0,22,3,0,0,0,0,2,1,0,0
8,0,38,9,0,2,0,12,13,0,0,0,0,2,1,0,0
0,0,43,15,0,3,0,12,10,0,24,0,0,0,0,0,0
8,1,36,5,0,2,0,22,5,0,0,0,0,1,1,0,0
4,1,18,1,0,1,0,7,0,0,2,0,0,1,1,0,0
7,2,29,16,0,1,0,5,182,0,7,0,0,0,0,0,0
7,1,35,6,0,1,0,29,5,0,10,0,0,1,1,0,0
4,1,26,9,0,1,0,29,11,4,0,0,0,0,0,0,0
8,2,36,6,0,2,0,12,8,1,0,0,0,0,0,0,0
2,0,5,8,0,2,0,21,16,0,0,0,0,1,1,0,0
7,1,41,14,0,1,0,12,36,0,0,0,0,2,1,0,0
9,2,16,6,0,3,1,30,1,0,0,0,0,0,0,0,0
7,0,47,19,0,1,0,23,5,0,0,0,0,1,1,0,0
6,0,31,14,0,3,1,12,9,0,0,0,0,0,0,0,0
6,0,4,9,0,1,0,5,8,2,0,0,0,1,1,0,0
9,2,23,11,0,3,0,12,5,0,36,0,0,1,1,0,0
7,1,32,11,1,1,0,29,54,0,0,0,0,2,1,0,0
2,2,5,14,0,1,0,12,25,0,0,0,0,0,0,0,0
6,0,0,8,0,1,0,12,9,0,0,0,0,0,0,0,0
3,2,46,23,0,1,0,12,7,0,0,0,0,1,1,0,0
4,1,41,8,1,2,0,12,0,0,50,0,0,0,0,0,0
6,2,6,16,0,1,0,4,16,0,0,0,0,1,1,0,0
8,1,38,20,0,1,0,12,12,0,0,0,0,0,0,0,0
9,0,2,15,0,2,1,12,0,0,6,0,0,2,1,0,0
9,2,27,2,0,2,0,21,1,0,0,0,0,1,1,0,0
10,1,42,10,0,2,0,29,0,0,10,0,0,1,1,1,1
9,0,2,12,0,2,0,4,7,1,0,0,0,0,0,0,0
7,1,35,2,0,1,0,12,31,11,0,0,0,0,0,0,0
7,0,47,13,0,1,0,4,13,5,0,0,0,1,1,0,0
0,2,22,22,0,3,0,12,2,0,0,0,0,0,0,0,0
9,2,2,7,0,3,0,12,0,0,0,0,0,2,1,0,0
2,1,19,9,0,2,0,12,20,0,0,0,0,0,0,0,0
9,1,16,13,0,3,0,12,56,37,0,0,0,0,0,0,0
3,2,39,19,0,2,0,11,5,0,0,0,0,2,1,0,0
4,2,3,21,0,2,1,30,10,0,0,0,0,1,1,0,0
9,0,23,17,0,3,0,22,3,0,0,0,0,2,1,0,0
7,0,47,13,0,1,0,4,46,0,0,0,0,0,0,0,0
4,0,41,4,1,2,0,22,11,0,49,0,0,0,0,0,0
7,2,30,13,0,3,0,22,19,0,0,0,0,0,0,0,0
8,2,37,0,0,2,0,12,14,0,0,0,0,1,1,1,0
9,2,23,18,0,2,0,12,30,8,0,0,0,0,0,0,0
6,0,41,8,0,1,0,12,1,0,0,0,0,0,0,0,0
9,0,2,21,0,2,0,12,0,0,30,0,0,0,0,0,0
4,0,44,6,0,1,0,22,0,0,3,0,0,0,0,0,0
8,2,38,21,0,1,0,5,21,0,0,0,0,1,1,0,0
9,1,16,0,1,2,0,23,0,0,30,0,0,0,0,0,0
8,2,36,6,0,2,0,12,14,0,0,0,0,0,0,0,0
8,1,38,12,1,1,0,12,8,0,9,0,0,0,0,0,0
0,0,41,5,0,3,0,12,0,0,3,0,0,1,1,0,0
0,1,15,14,0,3,0,22,0,0,33,0,0,0,0,0,0
0,1,34,25,0,3,0,12,0,0,29,0,0,1,1,0,0
0,2,45,3,0,2,0,12,0,0,0,0,0,0,0,0,0
7,1,35,2,0,1,0,12,17,0,9,0,0,0,0,0,0
7,0,29,18,0,1,0,30,43,0,0,0,0,0,0,0,0
9,2,41,9,0,2,0,12,0,0,36,0,0,1,1,0,0
9,2,16,17,0,3,0,12,0,0,32,0,0,1,1,0,0
8,2,41,4,0,2,0,28,35,0,0,0,0,2,1,0,0
9,0,16,24,0,3,0,12,0,0,0,0,0,2,1,1,0
8,0,36,21,0,1,0,30,19,0,0,0,0,1,1,0,0
4,0,24,13,1,1,0,12,9,0,0,0,0,1,1,0,0
7,1,47,12,0,2,0,12,21,0,0,0,0,1,1,0,0
8,2,38,5,0,1,1,12,47,0,0,0,0,2,1,0,0
6,2,41,7,0,1,0,5,9,0,0,0,0,1,1,0,0
8,2,36,8,0,1,0,30,25,0,0,0,0,1,1,0,0
7,0,41,6,0,1,0,28,0,0,0,0,0,1,3,1,0
8,0,36,13,0,2,0,12,25,6,0,0,0,1,1,0,0
8,2,41,14,1,2,0,22,2,0,0,0,0,0,0,0,0
6,2,41,3,0,1,0,12,38,0,0,0,0,1,1,0,0
0,1,45,16,0,2,0,16,7,0,5,0,0,0,0,0,0
8,1,37,0,0,2,0,12,7,0,0,0,0,2,1,0,0
7,1,41,9,0,2,0,12,3,0,0,0,0,1,1,0,0
7,0,30,7,1,2,0,3,63,0,0,0,0,1,1,1,0
5,1,40,0,0,3,0,22,22,0,0,0,0,0,0,0,0
0,0,22,15,0,2,0,12,0,0,4,0,0,1,1,0,1
7,1,30,23,0,3,0,30,1,0,0,0,0,0,0,0,0
0,1,41,6,0,3,1,4,0,0,0,0,0,2,1,0,0
7,2,41,14,0,1,0,12,0,0,4,0,0,0,0,0,0
7,0,41,5,0,1,0,12,19,0,0,0,0,0,0,0,0
6,1,41,10,0,1,0,22,46,0,0,0,0,1,1,0,0
9,1,23,28,0,2,0,22,0,0,2,0,0,1,1,0,0
0,1,45,15,0,2,0,12,11,1,0,0,0,2,1,0,0
4,1,13,7,0,2,0,12,0,0,0,0,0,0,0,0,0
4,2,3,18,0,1,0,22,28,0,0,0,0,1,1,0,0
7,1,29,13,0,1,0,5,15,0,0,0,0,1,1,0,0
8,0,41,2,0,2,0,5,5,0,0,0,0,2,1,0,0
0,2,41,9,0,2,0,30,0,0,0,0,0,1,1,1,0
9,1,23,22,0,2,0,6,3,0,44,0,0,0,0,0,0
2,0,1,25,0,2,0,12,6,0,0,0,0,0,0,0,0
7,2,41,4,0,1,1,22,19,0,0,0,0,1,1,0,0
6,2,4,9,1,2,0,5,0,0,4,0,0,2,1,0,0
7,1,47,18,0,1,0,12,11,0,0,0,0,0,0,0,0
2,1,1,13,0,2,0,2,54,0,0,0,0,2,1,0,0
7,0,30,9,0,3,0,12,0,0,0,0,0,2,1,0,0
6,1,0,7,1,1,0,16,18,6,0,0,0,1,1,0,0
4,2,44,20,0,1,0,3,18,0,0,0,0,0,0,0,0
4,2,26,8,0,1,0,12,6,2,0,0,0,1,1,0,0
7,0,47,10,0,2,0,12,14,0,10,0,0,1,1,0,0
6,0,6,15,0,1,0,23,0,0,0,0,0,1,1,0,0
4,0,24,19,0,2,1,12,0,0,40,0,0,1,1,0,0
0,1,34,14,1,2,0,7,0,0,0,0,0,2,1,0,0
7,1,35,1,0,1,0,12,21,0,0,0,0,2,1,0,0
6,0,31,18,0,1,0,16,5,0,0,0,0,1,1,0,0
7,2,32,20,0,1,0,7,10,0,0,0,0,2,1,0,0
0,1,22,12,0,3,0,5,6,0,0,0,0,0,0,0,0
8,2,36,20,0,2,0,22,60,0,0,0,0,0,0,0,0
9,2,2,5,0,3,0,30,1,0,0,0,0,0,0,0,0
6,1,4,12,0,1,0,4,0,0,18,0,0,1,1,0,0
4,1,41,16,1,2,0,18,44,0,0,0,0,1,1,0,0
6,0,0,7,0,1,0,12,41,13,0,0,0,1,1,0,0
9,0,2,7,1,2,0,2,1,0,0,0,0,1,1,1,0
4,0,3,2,0,1,0,1,0,0,57,0,0,1,1,0,0
9,2,27,20,0,3,0,4,0,0,3,0,0,0,0,0,0
2,1,5,13,0,1,0,7,16,0,0,0,0,2,1,0,0
6,0,0,13,0,2,0,12,18,3,0,0,0,0,0,0,0
6,0,31,14,0,3,1,12,3,0,0,0,0,1,1,0,0
7,2,47,6,1,1,0,4,4,0,0,0,0,1,1,0,0
